city_id,uf,nome,capital
4129,SC,Içara,False
1362,CE,Icó,False
2601,PE,Igarassu,False
4679,RJ,Iguaba Grande,False
3703,RS,Ijui,False
871,BA,Ilheus,False
4150,SC,Imbituba,False
1913,MA,Imperatriz,False
4157,SC,Indaial,False
90,SP,Indaiatuba,False
1665,GO,Inhumas,False
4738,MG,Ipatinga,False
2602,PE,Ipojuca,False
3192,PR,Irati,False
1084,BA,Irecê,False
4451,SE,Itabaiana,False
1085,BA,Itaberaba,False
4779,MG,Itabira,False
4762,MG,Itabirito,False
4662,RJ,Itaborai,False
859,BA,Itabuna,False
4660,RJ,Itaguai,False
2294,PA,Itaituba,False
4176,SC,Itajai,False
4800,MG,Itajuba,False
874,BA,Itamaraju,False
419,SP,Itanhaém,False
49,SP,Itapecerica da Serra,False
4636,RJ,Itaperuna,False
860,BA,Itapetinga,False
52,SP,Itapetininga,False
80,SP,Itapeva,False
108,SP,Itapevi,False
149,SP,Itapira,False
420,SP,Itápolis,False
134,SP,Itaquaquecetuba,False
424,SP,Itararé,False
15,SP,Itatiba,False
4923,MG,Itauna,False
141,SP,Itu,False
4785,MG,Ituiutaba,False
3200,PR,Ivaiporã,False
2600,PE,Jaboatao dos Guararapes,False
148,SP,Jaboticabal,False
28,SP,Jacarei,False
870,BA,Jacobina,False
59,SP,Jaguariuna,False
433,SP,Jales,False
5267,MG,Janaúba,False
210,SP,Jandira,False
4686,RJ,Japeri,False
4163,SC,Jaraguá do Sul,False
1678,GO,Jataí,False
32,SP,Jau,False
1111,BA,Jequié,False
3563,RO,Ji-Paraná,False
4935,MG,Joao Monlevade,False
2366,PB,Joao Pessoa,True
4143,SC,Joinville,False
873,BA,Juazeiro,False
1381,CE,Juazeiro do Norte,False
4739,MG,Juiz de Fora,False
78,SP,Jundiai,False
4457,SE,Lagarto,False
4148,SC,Lages,False
4320,SC,Laguna,False
3683,RS,Lajeado,False
2699,PE,Lajedo,False
5294,MG,Lavras,False
187,SP,Leme,False
441,SP,Lençóis Paulista,False
4824,MG,Leopoldina,False
19,SP,Limeira,False
2700,PE,Limoeiro,False
1384,CE,Limoeiro do Norte,False
1468,ES,Linhares,False
54,SP,Lins,False
3021,PR,Londrina,False
83,SP,Lorena,False
2217,MT,Lucas do Rio Verde,False
4637,RJ,Macae,False
3483,RN,Macaíba,False
833,AP,Macapa,True
670,AL,Maceio,True
4175,SC,Mafra,False
4638,RJ,Mage,False
55,SP,Mairiporã,False
2505,PB,Mamanguape,False
771,AM,Manaus,True
5303,MG,Manhuaçu,False
2220,PA,Maraba,False
1273,CE,Maracanau,False
4701,RJ,Maricá,False
16,SP,Marilia,False
3005,PR,Maringa,False
68,SP,Matão,False
46,SP,Maua,False
4670,RJ,Mesquita,False
4703,RJ,Miguel Pereira,False
132,SP,Mirassol,False
17,SP,Mococa,False
62,SP,Mogi das Cruzes,False
93,SP,Mogi Guaçu,False
86,SP,Mogi Mirim,False
467,SP,Mongaguá,False
468,SP,Monte Alto,False
66,SP,Monte Mor,False
3663,RS,Montenegro,False
4778,MG,Montes Claros,False
1281,CE,Morada Nova,False
2705,PE,Moreno,False
1694,GO,Morrinhos,False
3492,RN,Mossoró,False
4792,MG,Muriae,False
3397,RN,Natal,True
4132,SC,Navegantes,False
4706,RJ,Nilópolis,False
4657,RJ,Niteroi,False
4421,SE,Nossa Senhora do Socorro,False
4640,RJ,Nova Friburgo,False
4653,RJ,Nova Iguaçu,False
4828,MG,Nova Lima,False
146,SP,Nova Odessa,False
3662,RS,Novo Hamburgo,False
484,SP,Novo Horizonte,False
5591,DF,Núcleo Bandeirantes,False
2919,PI,Oeiras,False
120,SP,Olímpia,False
2596,PE,Olinda,False
5356,MG,Oliveira,False
75,SP,Osasco,False
2709,PE,Ouricuri,False
114,SP,Ourinhos,False
4782,MG,Ouro Preto,False
1275,CE,Pacajus,False
1402,CE,Pacatuba,False
1946,MA,Paço do Lumiar,False
4171,SC,Palhoça,False
2710,PE,Palmares,False
3249,PR,Palmas,True
4633,TO,Palmas,True
738,AL,Palmeira dos Índios,False
4665,RJ,Paracambi,False
4804,MG,Paracatu,False
2310,PA,Paragominas,False
500,SP,Paraguaçu Paulista,False
4667,RJ,Paraiba do Sul,False
2007,MS,Paranaiba,False
3255,PR,Paranavaí,False
5586,DF,Paranoá,False
2244,PA,Parauapebas,False
506,SP,Pariquera-Açu,False
2926,PI,Parnaíba,False
3395,RN,Parnamirim,False
2715,PE,Passira,False
3710,RS,Passo Fundo,False
3256,PR,Pato Branco,False
2524,PB,Patos,False
4788,MG,Patos de Minas,False
4742,MG,Patrocinio,False
9,SP,Paulinia,False
2599,PE,Paulista,False
77,SP,Pedreira,False
3697,RS,Pelotas,False
514,SP,Penápolis,False
516,SP,Peruíbe,False
2718,PE,Pesqueira,False
2591,PE,Petrolina,False
4648,RJ,Petropolis,False
151,SP,Piedade,False
74,SP,Pindamonhangaba,False
3022,PR,Pinhais,False
14,SP,Piracicaba,False
5402,MG,Pirapora,False
3027,PR,Piraquara,False
243,SP,Pirassununga,False
2933,PI,Piripiri,False
1456,DF,Planaltina,False
119,SP,Poá,False
4797,MG,Poços de Caldas,False
3019,PR,Ponta Grossa,False
2050,MS,Ponta Porã,False
4744,MG,Ponte Nova,False
3647,RS,Porto Alegre,True
218,SP,Porto Feliz,False
139,SP,Porto Ferreira,False
3565,RO,Porto Velho,True
4759,MG,Pouso Alegre,False
536,SP,Praia Grande,False
539,SP,Presidente Epitácio,False
96,SP,Presidente Prudente,False
540,SP,Presidente Venceslau,False
3272,PR,Prudentópolis,False
4655,RJ,Queimados,False
1418,CE,Quixadá,False
1419,CE,Quixeramobim,False
2603,PE,Recife,True
2337,PA,Redenção,False
138,SP,Registro,False
4654,RJ,Resende,False
5428,MG,Ribeirão das Neves,False
7,SP,Ribeirão Pires,False
92,SP,Ribeirão Preto,False
4676,RJ,Rio Bonito,False
650,AC,Rio Branco,True
13,SP,Rio Claro,False
4683,RJ,Rio das Ostras,False
4646,RJ,Rio de Janeiro,True
4134,SC,Rio do Sul,False
3660,RS,Rio Grande,False
752,AL,Rio Largo,False
1543,GO,Rio Verde,False
3006,PR,Rolandia,False
2165,MT,Rondonópolis,False
4072,RS,Rosário do Sul,False
1422,CE,Russas,False
4767,MG,Sabara,False
2730,PE,Salgueiro,False
10,SP,Salto,False
855,BA,Salvador,True
5589,DF,Samambaia,False
58,SP,Santa Barbara D'oeste,False
